,longitude,latitude,event_type,bulletin,origin_time,depth,magnitude
event_2022_108,20.184000,67.881,explosion,helsinki,2022-01-04T17:19:42.600000Z,0.000,0.7
event_2022_10060,82.180900,44.161,,leb,2022-01-04T17:35:39.040000Z,0.000,3.7
event_2022_9523,19.470900,79.9211,earthquake,norsar,2022-01-04T17:53:00.896000Z,15.000,2.3
event_2022_9524,19.537201,79.9072,earthquake,norsar,2022-01-04T17:53:01.002000Z,15.000,2.4
event_2022_10061,22.028700,67.1554,,leb,2022-01-04T18:01:53.220000Z,0.000,2.2
event_2022_109,20.652000,67.17,explosion,helsinki,2022-01-04T18:37:06.100000Z,0.000,1.2
event_2022_110,20.646000,67.18,explosion,helsinki,2022-01-04T19:55:39.500000Z,0.000,1.3
event_2022_111,33.836000,67.647,explosion,helsinki,2022-01-04T20:04:07.500000Z,0.000,1.1
event_2022_10062,125.038000,-4.8088,,leb,2022-01-04T20:55:47.550000Z,558.200,5.2
event_2022_112,20.252000,67.857,explosion,helsinki,2022-01-04T21:04:12.500000Z,0.000,0.8
event_2022_113,20.162000,67.856,explosion,helsinki,2022-01-04T21:09:40.800000Z,0.000,1.3
event_2022_114,20.159000,67.772,explosion,helsinki,2022-01-04T22:31:35.300000Z,0.000,0.6
event_2022_115,20.606000,67.196,explosion,helsinki,2022-01-04T23:05:03.400000Z,0.000,1.2
event_2022_116,20.236000,67.89,explosion,helsinki,2022-01-05T00:16:45.600000Z,0.000,0.9
event_2022_117,20.207000,67.809,explosion,helsinki,2022-01-05T00:21:02.700000Z,0.000,1.2
event_2022_118,20.220000,67.846,explosion,helsinki,2022-01-05T00:24:11.200000Z,0.000,1.3
event_2022_119,20.207000,67.773,explosion,helsinki,2022-01-05T00:25:35.700000Z,0.000,1.2
event_2022_10063,125.238100,76.1919,,leb,2022-01-05T00:45:59.680000Z,0.000,4.7
event_2022_10064,141.905900,28.5069,,leb,2022-01-05T00:53:45.210000Z,0.000,3.6
event_2022_120,20.253000,67.819,explosion,helsinki,2022-01-05T00:57:09.000000Z,0.000,0.6
event_2022_10065,45.567300,34.5196,,leb,2022-01-05T01:09:35.640000Z,0.000,3.5
event_2022_121,20.573000,67.191,explosion,helsinki,2022-01-05T03:09:53.100000Z,0.000,1.2
event_2022_10066,31.248500,36.2704,,leb,2022-01-05T03:21:17.730000Z,61.000,5.0
event_2022_122,30.893000,69.29,explosion,helsinki,2022-01-05T03:59:44.600000Z,0.000,1.2
event_2022_123,30.654000,69.261,explosion,helsinki,2022-01-05T04:05:37.700000Z,0.000,1.3
event_2022_124,33.783000,67.705,explosion,helsinki,2022-01-05T04:06:40.000000Z,0.000,1.4
event_2022_125,20.078000,67.801,explosion,helsinki,2022-01-05T05:11:46.700000Z,0.000,1.3
event_2022_10067,150.051900,45.7233,,leb,2022-01-05T05:43:08.420000Z,86.800,3.3
event_2022_10068,164.938000,56.0595,,leb,2022-01-05T05:45:18.270000Z,0.000,3.7
event_2022_126,20.642000,67.174,explosion,helsinki,2022-01-05T06:13:45.500000Z,0.000,1.1
event_2022_10069,164.909800,56.0471,,leb,2022-01-05T07:22:25.150000Z,0.000,4.6
event_2022_127,28.125000,63.975,explosion,helsinki,2022-01-05T08:31:14.600000Z,0.000,1.9
event_2022_10070,28.497400,63.9369,,leb,2022-01-05T08:31:15.430000Z,0.000,2.4
event_2022_10071,121.345100,19.0679,,leb,2022-01-05T08:35:34.590000Z,0.000,3.8
event_2022_10072,100.775900,27.8387,,leb,2022-01-05T09:52:49.940000Z,0.000,4.0
event_2022_10073,72.313400,37.8826,,leb,2022-01-05T09:57:09.600000Z,135.500,3.5
event_2022_128,25.813000,62.301,explosion,helsinki,2022-01-05T10:01:19.700000Z,0.000,1.0
event_2022_129,24.452000,61.441,explosion,helsinki,2022-01-05T10:19:08.900000Z,0.000,0.9
event_2022_10074,86.263700,27.5645,,leb,2022-01-05T10:31:42.650000Z,0.000,4.0
event_2022_130,19.989000,67.79,explosion,helsinki,2022-01-05T11:17:04.500000Z,0.000,1.0
event_2022_131,28.197000,61.021,explosion,helsinki,2022-01-05T11:34:08.300000Z,0.000,1.3
event_2022_132,27.747000,63.137,explosion,helsinki,2022-01-05T11:37:27.900000Z,0.000,1.8
event_2022_10075,27.772200,63.0765,,leb,2022-01-05T11:37:28.620000Z,0.000,2.0
event_2022_133,24.958000,60.337,explosion,helsinki,2022-01-05T11:48:32.000000Z,0.000,0.7
event_2022_134,27.978000,59.252,explosion,helsinki,2022-01-05T11:55:54.800000Z,0.000,1.5
event_2022_135,33.627000,67.86,explosion,helsinki,2022-01-05T12:04:56.000000Z,0.000,1.2
event_2022_136,33.701000,67.701,explosion,helsinki,2022-01-05T12:07:12.500000Z,0.000,1.2
event_2022_137,20.108000,67.84,explosion,helsinki,2022-01-05T12:12:20.700000Z,0.000,1.0
event_2022_10076,140.094300,36.0391,,leb,2022-01-05T12:34:16.530000Z,61.300,3.5
event_2022_138,26.930000,61.568,explosion,helsinki,2022-01-05T12:44:59.300000Z,0.000,0.1
event_2022_139,33.099000,68.144,explosion,helsinki,2022-01-05T13:08:53.500000Z,0.000,1.5
event_2022_10077,122.428100,24.0291,,leb,2022-01-05T13:08:59.940000Z,0.000,3.8
event_2022_10078,122.487800,24.1029,,leb,2022-01-05T13:11:33.140000Z,0.000,3.7
event_2022_140,29.307000,62.823,explosion,helsinki,2022-01-05T13:14:52.300000Z,0.000,1.3
event_2022_141,20.055000,67.79,explosion,helsinki,2022-01-05T13:29:45.600000Z,0.000,0.9
event_2022_142,20.350000,67.815,explosion,helsinki,2022-01-05T13:32:46.400000Z,0.000,0.9
event_2022_10079,-154.458700,55.8166,,leb,2022-01-05T14:16:22.960000Z,0.000,3.3
event_2022_10080,105.717800,-5.81,,leb,2022-01-05T14:17:11.600000Z,177.200,3.5
event_2022_10081,-154.730600,56.2697,,leb,2022-01-05T14:23:37.950000Z,0.000,3.6
event_2022_10082,-154.994800,56.9846,,leb,2022-01-05T14:25:26.820000Z,83.600,3.7
event_2022_10083,-155.472800,57.9425,,leb,2022-01-05T14:30:16.980000Z,0.000,3.9
event_2022_143,23.920000,60.143,explosion,helsinki,2022-01-05T14:35:55.000000Z,0.000,1.2
event_2022_10084,147.334800,45.3354,,leb,2022-01-05T14:38:53.060000Z,0.000,3.0
